ID,Age,Gender,Marital_Status,Job_Role,Experience_Years,Monthly_Salary_INR,Working_Hours_per_Week,Commute_Time_Hours,Remote_Work,Stress_Level,Health_Issues,Company_Size,Department,Sleep_Hours,Physical_Activity_Hours_per_Week,Mental_Health_Leave_Taken,Manager_Support_Level,Work_Pressure_Level,Annual_Leaves_Taken,Work_Life_Balance,Family_Support_Level,Job_Satisfaction,Performance_Rating,Team_Size,Training_Opportunities,Gender_Bias_Experienced,Discrimination_Experienced,Burnout_Symptoms,Location
925,22,Male,Single,Developer,1.5,80502,46,3,Yes,Low,None,Large,Marketing,5.7,5,Yes,Medium,High,9,High,High,Medium,Average,45,No,No,Yes,Sometimes,Delhi
926,22,Other,Divorced,Intern,1.5,15822,25,1.9,Yes,Medium,None,Small,Engineering,6,5,No,High,High,13,Medium,High,Low,Excellent,19,Yes,No,No,Rarely,Bangalore
927,46,Female,Married,CEO,8.1,531686,61,1.4,Partial,Low,Diabetes,Large,Marketing,5,4,No,High,High,15,Medium,Medium,Low,Average,44,No,No,No,Often,Hyderabad
928,35,Female,Single,Analyst,12.1,54870,40,0.6,No,High,Back Pain,Large,Engineering,5.2,3,Yes,Medium,Medium,14,High,Low,Low,Good,40,No,Yes,No,Sometimes,Pune
929,44,Other,Single,CEO,6.8,545733,60,0.7,Partial,Medium,None,Medium,HR,5,4,Yes,Medium,High,19,Medium,Medium,High,Good,46,No,No,Yes,Often,Pune
930,27,Other,Married,Designer,1.2,49818,48,0.9,No,Low,None,Small,HR,5.5,5,No,High,Medium,20,High,High,Low,Good,23,Yes,No,Yes,Rarely,Hyderabad
931,39,Other,Divorced,Manager,13.9,292407,51,1.3,Partial,High,Arthritis,Small,Engineering,5,3,Yes,High,High,17,High,High,Medium,Average,26,Yes,Yes,Yes,Often,Hyderabad
932,34,Male,Married,Designer,12.5,45468,42,1.4,No,High,Arthritis,Small,Engineering,5,3,Yes,High,Medium,20,Medium,Low,High,Good,9,Yes,Yes,No,Rarely,Hyderabad
933,30,Female,Single,Manager,6.3,234189,51,2.1,Partial,Low,Migraine,Large,Engineering,5,4,Yes,Low,High,19,Medium,High,High,Good,6,No,Yes,No,Often,Mumbai
934,45,Female,Divorced,CEO,19.2,514036,66,2.1,Yes,High,Hypertension,Small,HR,5,2,No,Medium,Medium,13,High,Medium,Low,Poor,2,No,Yes,No,Often,Bangalore
935,35,Female,Married,Designer,0.9,50497,48,0.6,No,Low,Migraine,Medium,Operations,5.2,5,No,Low,Medium,12,Medium,Low,High,Average,20,Yes,Yes,Yes,Rarely,Pune
936,25,Male,Single,Developer,3.4,108278,47,2.5,Partial,Low,None,Small,Marketing,5,5,No,Low,Medium,11,Medium,Low,Medium,Average,8,Yes,No,Yes,Sometimes,Bangalore
937,24,Female,Divorced,Developer,2.6,110931,45,0.9,Partial,Low,Migraine,Medium,Operations,6.2,5,Yes,High,Medium,9,Medium,Medium,High,Good,45,Yes,No,Yes,Sometimes,Pune
938,29,Female,Single,Analyst,8.8,56145,40,1,No,Medium,None,Large,HR,6.2,4,No,Low,Medium,16,Low,Medium,Low,Average,37,Yes,Yes,Yes,Sometimes,Pune
939,25,Male,Married,Designer,1.1,52199,48,0.5,Partial,Medium,Migraine,Small,HR,6.2,5,No,High,High,19,Low,Medium,Low,Excellent,49,No,Yes,Yes,Rarely,Pune
940,24,Male,Single,Intern,2.9,15381,28,0.9,No,Medium,None,Medium,Engineering,6.5,5,No,High,High,13,Medium,Medium,Medium,Good,36,No,No,Yes,Rarely,Hyderabad
941,21,Male,Married,Intern,0.5,18990,25,2,Partial,Medium,None,Medium,Operations,6,5,Yes,Medium,Medium,10,Medium,Low,Medium,Good,24,No,Yes,Yes,Rarely,Bangalore
942,24,Female,Single,Developer,1,119640,41,2,Partial,Low,None,Large,HR,5.7,5,No,Medium,High,11,Medium,Medium,Medium,Good,47,No,No,Yes,Sometimes,Delhi
943,26,Male,Divorced,Developer,3,91390,48,2.9,Partial,Low,None,Large,Engineering,5.2,5,Yes,Low,Medium,14,High,High,Low,Good,33,No,No,Yes,Sometimes,Mumbai
944,23,Male,Divorced,Developer,2.6,97624,44,2.7,Yes,Medium,None,Small,Engineering,5.2,5,No,High,High,16,High,Medium,Low,Poor,2,Yes,No,No,Sometimes,Mumbai
945,24,Female,Single,Intern,2.1,16050,25,1.7,Partial,Medium,Migraine,Large,Engineering,6.2,3,No,Low,Medium,6,Medium,Medium,Medium,Average,32,No,No,Yes,Rarely,Mumbai
946,48,Other,Divorced,CEO,8.8,574671,70,1.9,Yes,Low,Back Pain,Small,Engineering,5,4,Yes,Low,Medium,15,Low,Medium,Medium,Average,19,Yes,Yes,Yes,Often,Delhi
947,28,Male,Divorced,Developer,3.4,88003,44,0.8,Partial,Low,None,Large,Engineering,5.5,5,Yes,Low,High,9,Medium,Low,Low,Average,26,No,No,No,Sometimes,Hyderabad
948,48,Male,Single,CEO,22.2,580498,66,2.3,Partial,High,Diabetes,Medium,Engineering,5,1,No,Low,Medium,6,High,High,Medium,Excellent,14,Yes,Yes,Yes,Often,Bangalore
949,34,Male,Married,Analyst,8.6,58821,44,1,Partial,Medium,None,Small,HR,5,4,Yes,High,Medium,6,Medium,Low,Low,Excellent,13,No,No,No,Sometimes,Hyderabad
950,31,Other,Married,Designer,2.4,48781,44,1.9,Partial,Medium,None,Medium,HR,5,5,No,Medium,High,7,High,High,Medium,Poor,28,No,Yes,No,Rarely,Mumbai
951,20,Female,Married,Intern,0.5,15312,26,1.6,Yes,Medium,None,Small,Engineering,6,5,Yes,Medium,Medium,17,Medium,Low,Medium,Excellent,25,No,No,No,Rarely,Bangalore
952,20,Other,Single,Intern,0.2,16170,29,2.8,Partial,Medium,Migraine,Large,HR,6.2,3,Yes,Low,High,10,Medium,Low,High,Excellent,15,Yes,No,Yes,Rarely,Mumbai
953,43,Female,Single,Manager,21.4,289826,56,1.1,No,High,Hypertension,Small,Operations,5,1,No,Medium,High,12,High,Low,Medium,Excellent,31,Yes,No,Yes,Often,Pune
954,25,Other,Divorced,Intern,4.1,17593,25,1.7,Partial,Medium,None,Medium,HR,6.7,5,Yes,Medium,High,18,Low,High,Low,Poor,5,Yes,No,Yes,Rarely,Delhi
955,45,Other,Married,Manager,21.4,214472,52,2.9,Partial,High,Hypertension,Small,Engineering,5,1,Yes,Medium,Medium,20,Low,Low,High,Average,8,Yes,Yes,Yes,Often,Bangalore
956,30,Other,Divorced,Designer,1.5,43635,49,3,Yes,Low,Migraine,Small,HR,5,5,No,Medium,High,14,Low,Low,Low,Average,44,No,Yes,No,Rarely,Bangalore
957,24,Female,Single,Intern,2.3,17661,35,1.5,Yes,Low,None,Medium,Marketing,6,3,No,Low,Medium,19,High,Medium,High,Excellent,20,Yes,No,Yes,Rarely,Bangalore
958,30,Male,Single,Manager,6.1,226116,51,0.8,Partial,Low,Migraine,Large,HR,5,4,Yes,Medium,High,14,Low,Medium,Medium,Good,2,No,Yes,Yes,Often,Pune
959,25,Other,Married,Designer,3.8,42964,43,2.5,Yes,Low,None,Small,Marketing,5.7,5,No,High,High,15,High,High,Medium,Good,10,Yes,Yes,No,Rarely,Delhi
960,33,Female,Divorced,Designer,7.4,51274,50,0.6,No,Low,Migraine,Medium,Operations,5.2,4,Yes,High,Medium,18,Low,Low,High,Average,21,Yes,Yes,Yes,Rarely,Pune
961,20,Male,Divorced,Intern,0.2,15789,29,1.4,Partial,Low,Migraine,Large,HR,7.2,4,No,Low,High,8,High,Medium,Low,Excellent,22,Yes,No,No,Rarely,Pune
962,27,Male,Single,Analyst,3.8,49084,45,1.5,Partial,Medium,None,Large,HR,5,5,No,Medium,High,13,Low,High,High,Good,38,Yes,No,No,Sometimes,Bangalore
963,52,Other,Single,CEO,3.3,522130,63,1.2,Partial,Low,Diabetes,Medium,HR,5,5,Yes,Medium,Medium,6,High,High,Low,Poor,13,No,Yes,Yes,Often,Pune
964,25,Male,Married,Developer,0.9,106699,45,1.4,Partial,Medium,Migraine,Large,Operations,6.5,5,Yes,Medium,Medium,16,Low,Medium,Medium,Average,20,No,Yes,Yes,Sometimes,Kolkata
965,22,Female,Divorced,Developer,1.3,119445,48,2.2,Yes,Medium,Migraine,Large,Marketing,5,5,Yes,Medium,High,19,Medium,Low,Low,Good,10,Yes,No,Yes,Sometimes,Bangalore
966,25,Male,Single,Developer,1.9,81368,48,2.3,Yes,Low,Migraine,Large,Marketing,5.7,5,Yes,Low,High,7,High,High,High,Average,26,Yes,No,No,Sometimes,Delhi
967,30,Male,Divorced,Developer,8.5,106196,43,1.9,Yes,Low,Migraine,Small,Engineering,5,4,No,High,Medium,15,Medium,Medium,High,Average,34,No,No,No,Sometimes,Delhi
968,29,Other,Single,Analyst,4,52913,42,2.4,Yes,Low,Migraine,Small,Engineering,5,5,Yes,Medium,Medium,16,Medium,Low,Low,Average,41,No,Yes,Yes,Sometimes,Bangalore
969,23,Other,Divorced,Developer,1.8,104589,45,1.9,Partial,Medium,None,Small,Operations,5.7,5,Yes,High,High,15,Medium,Low,High,Good,36,Yes,Yes,No,Sometimes,Delhi
970,25,Male,Single,Analyst,3.8,49405,40,2.6,Partial,Medium,Migraine,Large,Operations,5.7,5,No,Medium,Medium,20,Low,Medium,Medium,Poor,44,Yes,No,Yes,Sometimes,Delhi
971,24,Female,Married,Developer,1,84563,48,2.7,Yes,Low,Migraine,Small,Operations,5.2,5,Yes,Medium,High,13,Low,Low,High,Good,43,No,No,Yes,Sometimes,Mumbai
972,27,Male,Single,Analyst,1.6,57619,43,1.4,No,Low,None,Medium,Engineering,6.5,5,Yes,High,Medium,16,High,Medium,Low,Excellent,15,Yes,No,Yes,Sometimes,Kolkata
973,21,Female,Single,Intern,0.8,18153,26,1.4,No,Medium,None,Large,HR,7.5,4,Yes,Low,Medium,10,Medium,High,Low,Good,21,No,Yes,Yes,Rarely,Kolkata
974,26,Male,Married,Developer,4.2,91925,44,2.5,Partial,Medium,Migraine,Small,Marketing,5.2,5,No,Low,Medium,7,High,High,Medium,Poor,43,Yes,Yes,No,Sometimes,Mumbai
975,45,Male,Single,Manager,5.3,286502,54,0.7,Partial,Medium,None,Medium,Marketing,5,4,No,High,High,6,Low,Medium,Medium,Good,23,Yes,No,No,Often,Kolkata
976,26,Other,Single,Analyst,4.1,49823,43,1.4,Partial,Medium,Migraine,Medium,Operations,6.5,5,Yes,High,Medium,18,Low,Medium,Low,Average,31,No,Yes,No,Sometimes,Kolkata
977,30,Other,Divorced,Designer,4.1,52890,49,1.7,Partial,Low,Migraine,Medium,Operations,5,5,Yes,High,High,16,High,Medium,Medium,Excellent,16,No,Yes,No,Rarely,Delhi
978,43,Female,Married,Manager,9.1,285819,53,1.2,Partial,Medium,Diabetes,Medium,HR,5,4,Yes,Medium,Medium,6,Medium,Medium,High,Good,14,Yes,Yes,No,Often,Kolkata
979,33,Other,Single,Designer,6.7,53857,41,0.9,Partial,Medium,Migraine,Large,Engineering,5.2,4,Yes,Low,High,7,Medium,Low,Medium,Good,8,No,No,No,Rarely,Pune
980,34,Other,Divorced,Analyst,3.3,54110,42,2.5,Partial,Medium,None,Small,HR,5,5,Yes,Low,Medium,10,Low,Medium,Medium,Poor,14,Yes,Yes,No,Sometimes,Mumbai
981,24,Female,Single,Intern,2.3,19658,34,1.8,Yes,Low,Migraine,Large,Operations,6.7,4,No,Low,Medium,19,Low,Low,High,Poor,47,No,No,Yes,Rarely,Delhi
982,26,Female,Married,Designer,0.8,41504,41,2.5,Yes,Low,Migraine,Large,HR,5,5,Yes,High,High,7,Low,Medium,High,Poor,2,No,No,Yes,Rarely,Bangalore
983,24,Female,Married,Intern,1.6,15413,28,0.7,No,Medium,Migraine,Medium,Marketing,6.5,3,Yes,Medium,High,9,Low,High,Low,Excellent,9,No,No,Yes,Rarely,Hyderabad
984,43,Male,Divorced,CEO,12.9,592220,65,1.6,Partial,High,Diabetes,Large,Marketing,5,3,Yes,High,Medium,14,Medium,Low,Low,Good,11,No,No,Yes,Often,Mumbai
985,45,Male,Married,Manager,23.4,221718,55,2.9,Yes,High,Hypertension,Small,HR,5,1,No,Low,High,18,Low,Medium,Low,Average,46,Yes,Yes,Yes,Often,Mumbai
986,41,Male,Married,Manager,4.8,205030,59,1.8,Yes,Low,None,Medium,Marketing,5,5,Yes,Medium,High,13,Low,Medium,High,Poor,11,Yes,Yes,Yes,Often,Bangalore
987,29,Male,Single,Designer,7.6,40331,45,2.8,Yes,Medium,Migraine,Small,Engineering,5.2,4,Yes,Medium,Medium,10,Low,Low,High,Average,36,Yes,No,Yes,Rarely,Mumbai
988,30,Male,Divorced,Developer,4.4,91515,48,2.8,Partial,Medium,None,Small,HR,5,5,Yes,Low,Medium,19,High,High,High,Poor,34,No,No,Yes,Sometimes,Delhi
989,30,Male,Married,Analyst,9,54671,42,2.5,Partial,Low,Migraine,Medium,HR,5,4,Yes,Low,High,17,Low,Low,Medium,Good,44,No,Yes,Yes,Sometimes,Mumbai
990,21,Female,Divorced,Intern,0.9,17738,30,2.3,Partial,Low,Migraine,Medium,Engineering,6,3,No,Low,Medium,15,High,High,High,Average,3,Yes,No,No,Rarely,Bangalore
991,25,Female,Married,Developer,4.8,93245,46,2.4,Partial,Low,None,Small,HR,5,5,No,High,High,12,High,High,Low,Poor,30,No,No,No,Sometimes,Bangalore
992,60,Female,Single,CEO,24.4,596015,65,0.9,No,High,Back Pain,Medium,Engineering,5,1,No,High,Medium,16,Medium,Medium,Medium,Average,19,No,Yes,No,Often,Kolkata
993,30,Female,Single,Manager,5.1,253306,50,0.7,Partial,Medium,Migraine,Large,HR,5,4,Yes,High,Medium,11,High,Medium,Low,Good,3,No,Yes,No,Often,Kolkata
994,59,Male,Divorced,CEO,27.7,522875,64,2.1,Yes,High,Back Pain,Large,Engineering,5,1,No,Medium,Medium,20,Medium,Low,Low,Good,35,Yes,Yes,No,Often,Mumbai
995,26,Other,Single,Developer,4,107260,43,1.6,Yes,Low,None,Medium,Engineering,5.2,5,Yes,Medium,Medium,11,Medium,Low,Medium,Poor,8,Yes,Yes,No,Sometimes,Mumbai
996,22,Male,Married,Intern,1.6,18332,33,0.7,No,Low,None,Large,Operations,7.2,3,Yes,Medium,High,18,Medium,Low,High,Poor,18,Yes,No,No,Rarely,Pune
997,31,Other,Married,Analyst,8.8,46960,44,2,Yes,Medium,Migraine,Small,HR,5,4,Yes,Low,High,9,Low,High,High,Good,26,No,Yes,Yes,Sometimes,Mumbai
998,28,Other,Single,Designer,3.4,51951,40,1.4,No,Low,Migraine,Small,Marketing,6.2,5,No,Medium,Medium,16,Medium,Medium,Medium,Excellent,29,Yes,No,No,Rarely,Pune
999,23,Female,Single,Intern,2.6,19871,35,1.1,No,Medium,None,Medium,Engineering,7.5,3,Yes,Medium,High,12,Low,Medium,High,Poor,18,Yes,Yes,No,Rarely,Kolkata
1000,23,Female,Single,Intern,0.6,16654,31,1.7,Yes,Low,None,Small,Marketing,6.2,3,No,High,High,8,High,Low,Low,Poor,45,Yes,Yes,Yes,Rarely,Mumbai
1001,22,Female,Divorced,Intern,1.5,16898,33,1.3,Partial,Medium,None,Large,Marketing,7.5,3,No,Medium,Medium,20,Medium,High,Low,Good,38,Yes,No,No,Rarely,Kolkata
1002,31,Female,Married,Manager,3,242041,57,0.7,No,Low,None,Large,Marketing,5,5,Yes,High,High,6,Medium,Medium,Medium,Excellent,45,Yes,Yes,No,Often,Pune
1003,31,Male,Single,Designer,1.1,52838,42,1.3,Partial,Medium,None,Small,Marketing,5.5,5,Yes,High,Medium,7,High,Low,Medium,Good,37,No,No,Yes,Rarely,Kolkata
1004,29,Female,Divorced,Developer,6.9,99645,40,0.7,Partial,Medium,None,Small,HR,6.5,4,Yes,Medium,Medium,11,Low,High,High,Average,50,No,Yes,No,Sometimes,Kolkata
1005,25,Male,Married,Analyst,1.3,53475,40,0.7,Partial,Low,None,Medium,Marketing,6.2,5,No,Medium,Medium,18,High,High,Low,Excellent,19,No,No,Yes,Sometimes,Pune
1006,57,Male,Divorced,CEO,29.9,591125,69,1.3,No,High,Arthritis,Large,Marketing,5,1,No,Low,Medium,5,Low,Medium,Medium,Good,33,No,No,No,Often,Pune
1007,34,Male,Divorced,Analyst,10,53408,41,1.5,No,Low,Migraine,Medium,Operations,5,3,Yes,Low,High,12,Medium,High,Medium,Good,7,Yes,No,No,Sometimes,Hyderabad
1008,28,Female,Single,Designer,4.7,42943,40,2.5,Partial,Low,None,Medium,Engineering,5.2,5,No,Low,Medium,19,Low,High,Low,Good,2,Yes,Yes,Yes,Rarely,Mumbai
1009,42,Male,Single,CEO,2.5,547793,67,1.9,Yes,Low,Diabetes,Medium,Operations,5,5,No,Medium,Medium,14,Medium,High,Medium,Poor,21,No,No,No,Often,Delhi
1010,33,Male,Married,Designer,7.6,46159,46,0.9,Partial,Medium,Migraine,Small,HR,5.2,4,No,High,Medium,8,High,Low,High,Poor,26,No,Yes,Yes,Rarely,Pune
1011,33,Other,Married,Designer,3,42650,41,0.7,Partial,Medium,None,Medium,Operations,5.5,5,No,Medium,Medium,6,Low,Medium,Medium,Poor,18,No,Yes,No,Rarely,Kolkata
1012,23,Other,Married,Developer,2.6,85030,46,2.7,Partial,Low,Migraine,Small,HR,5,5,Yes,Medium,High,5,Low,Low,Medium,Good,10,No,No,Yes,Sometimes,Bangalore
1013,25,Other,Married,Developer,1.2,81875,49,0.8,No,Low,None,Large,Marketing,6.5,5,No,Medium,High,14,Low,Medium,Low,Poor,35,Yes,Yes,Yes,Sometimes,Kolkata
1014,34,Male,Single,Analyst,1,53220,45,2.3,Yes,Medium,None,Medium,Marketing,5,5,Yes,Low,Medium,10,Low,Medium,Medium,Good,8,No,No,Yes,Sometimes,Mumbai
1015,26,Female,Single,Analyst,5.9,58895,42,1.4,Partial,Medium,None,Medium,Operations,5.5,4,No,Medium,High,7,Medium,High,Low,Poor,28,Yes,No,Yes,Sometimes,Hyderabad
1016,30,Female,Married,Developer,9.3,90933,45,0.6,No,Low,None,Medium,Operations,5.2,4,Yes,Medium,Medium,20,Low,High,Medium,Good,7,Yes,Yes,Yes,Sometimes,Pune
1017,25,Male,Single,Developer,2.5,94068,48,2.2,Partial,Medium,Migraine,Large,HR,5.2,5,No,Medium,Medium,5,Low,Low,Low,Poor,34,No,Yes,No,Sometimes,Mumbai
1018,29,Female,Divorced,Analyst,7.5,49756,44,0.7,Partial,Low,None,Medium,Engineering,5.5,4,No,Medium,Medium,13,Low,High,Low,Excellent,11,Yes,No,Yes,Sometimes,Hyderabad
1019,48,Female,Divorced,CEO,21.7,506734,61,2.6,Yes,High,Back Pain,Large,Operations,5,1,No,Low,High,19,High,High,High,Excellent,28,Yes,Yes,No,Often,Bangalore
1020,51,Other,Married,CEO,29.8,559644,62,2.9,Yes,High,Back Pain,Large,Marketing,5,1,Yes,High,High,9,Low,Medium,Low,Good,35,No,No,No,Often,Delhi
1021,29,Male,Married,Designer,2.7,41128,46,1.5,Partial,Medium,None,Medium,Marketing,5,5,No,High,Medium,12,Low,Low,Medium,Good,19,Yes,No,Yes,Rarely,Bangalore
1022,34,Female,Married,Manager,5.9,258780,59,2.1,Yes,Low,None,Small,HR,5,4,Yes,Medium,Medium,19,Medium,Medium,Medium,Excellent,15,Yes,Yes,No,Often,Bangalore
1023,30,Male,Married,Analyst,5.9,58324,41,0.6,No,Low,None,Small,Operations,5.5,4,No,Medium,High,6,High,Low,Medium,Average,34,No,No,Yes,Sometimes,Kolkata
1024,41,Male,Divorced,Manager,10.8,253478,55,0.6,No,High,Hypertension,Medium,Operations,5,3,No,High,High,20,High,High,High,Poor,13,Yes,No,Yes,Often,Kolkata
1025,52,Other,Married,CEO,10.2,509781,62,3,Partial,High,Hypertension,Medium,Engineering,5,3,No,Medium,Medium,5,Low,Medium,High,Poor,33,Yes,No,No,Often,Bangalore
1026,35,Other,Divorced,Analyst,9.4,56031,41,1,Partial,Low,None,Small,Engineering,5,4,No,High,High,20,Medium,Low,Medium,Poor,40,No,No,Yes,Sometimes,Hyderabad
1027,42,Other,Married,Manager,21.4,263347,56,1.4,No,High,Back Pain,Large,HR,5,1,Yes,High,High,13,Low,High,High,Excellent,6,No,Yes,Yes,Often,Pune
1028,44,Male,Married,Manager,22,246508,59,1.8,Partial,High,Back Pain,Medium,HR,5,1,Yes,High,Medium,8,High,Low,Low,Excellent,8,No,No,Yes,Often,Bangalore
1029,26,Male,Divorced,Analyst,3.1,48717,43,2.7,Partial,Low,Migraine,Large,Operations,5.7,5,No,High,Medium,15,High,High,Medium,Average,33,Yes,No,No,Sometimes,Delhi
1030,30,Female,Single,Analyst,1,53280,44,0.6,No,Medium,Migraine,Large,Marketing,5.2,5,Yes,Medium,Medium,7,High,Medium,Low,Excellent,38,No,No,No,Sometimes,Pune
1031,23,Male,Single,Developer,2.5,110734,41,2.8,Yes,Low,None,Medium,HR,5.7,5,Yes,Medium,High,12,Low,Low,Medium,Good,41,Yes,No,No,Sometimes,Delhi
1032,25,Other,Divorced,Intern,4.5,16026,28,2.3,Yes,Medium,None,Large,Operations,6.7,3,Yes,High,Medium,10,Medium,High,Medium,Average,34,No,No,No,Rarely,Delhi
1033,34,Female,Single,Analyst,7.2,46202,43,3,Partial,Low,Migraine,Medium,HR,5,4,No,High,Medium,7,High,Low,Low,Excellent,42,No,Yes,Yes,Sometimes,Bangalore
1034,35,Male,Single,Analyst,6.7,57309,42,1.8,Partial,Low,None,Medium,Marketing,5,4,No,Medium,Medium,20,Medium,Low,Low,Good,35,Yes,Yes,Yes,Sometimes,Mumbai
1035,28,Male,Divorced,Analyst,3.9,50792,40,1.7,Yes,Medium,None,Large,Operations,5,5,No,High,Medium,19,High,Medium,High,Average,4,Yes,No,Yes,Sometimes,Bangalore
1036,30,Male,Married,Designer,7.6,41179,43,1.7,Partial,Low,Migraine,Medium,Marketing,5,4,No,Medium,Medium,6,Low,Low,Low,Average,33,Yes,Yes,Yes,Rarely,Bangalore
1037,45,Male,Married,CEO,5.8,501609,67,1,Partial,Low,Hypertension,Large,Marketing,5,4,Yes,High,Medium,10,Medium,Low,Medium,Average,33,No,No,Yes,Often,Pune
1038,34,Other,Married,Manager,12.5,286551,55,2.1,Partial,High,Hypertension,Large,Marketing,5,3,Yes,High,Medium,17,High,High,High,Average,23,Yes,Yes,No,Often,Delhi
1039,50,Male,Divorced,CEO,13.2,575924,63,0.7,Partial,High,Diabetes,Large,Engineering,5,3,Yes,Low,High,14,Low,High,Low,Average,45,Yes,No,Yes,Often,Pune
1040,39,Female,Married,Manager,17.3,266537,51,1.1,Partial,High,Diabetes,Medium,Marketing,5,2,Yes,Medium,High,15,High,Medium,High,Average,6,No,Yes,No,Often,Hyderabad
1041,31,Other,Divorced,Analyst,8.2,59506,40,2.1,Partial,Low,Migraine,Large,Operations,5,4,Yes,High,High,20,High,High,High,Poor,41,No,No,No,Sometimes,Mumbai
1042,25,Male,Divorced,Developer,2.8,109489,43,1.2,No,Medium,None,Medium,Marketing,6.5,5,Yes,Medium,High,10,Low,Medium,Low,Excellent,5,No,No,No,Sometimes,Kolkata
1043,20,Male,Divorced,Intern,0.3,19319,30,0.8,Partial,Medium,Migraine,Medium,Engineering,6.5,4,Yes,High,Medium,9,Medium,Low,Low,Average,14,No,No,No,Rarely,Hyderabad
1044,42,Female,Single,CEO,12.9,518465,69,2,Partial,High,Diabetes,Medium,HR,5,3,No,High,Medium,7,Medium,Low,Medium,Excellent,13,Yes,Yes,Yes,Often,Delhi
1045,33,Female,Divorced,Designer,1.2,48490,47,0.6,Partial,Medium,Migraine,Small,Engineering,5,5,No,Medium,High,7,Medium,Low,High,Excellent,16,Yes,No,Yes,Rarely,Hyderabad
1046,30,Female,Divorced,Developer,8,84270,47,2.9,Partial,Medium,None,Small,Marketing,5,4,Yes,Medium,Medium,19,Low,Medium,Medium,Average,23,Yes,Yes,No,Sometimes,Mumbai
1047,45,Female,Single,Manager,10.8,226200,51,1.3,No,High,Hypertension,Large,Operations,5,3,Yes,Medium,Medium,6,Low,Low,Medium,Excellent,23,No,No,Yes,Often,Kolkata
1048,27,Other,Married,Developer,5.7,119334,45,0.6,Partial,Medium,Migraine,Medium,Marketing,6.2,4,Yes,Low,Medium,13,Medium,Low,Medium,Good,34,Yes,Yes,No,Sometimes,Pune
1049,23,Other,Single,Intern,0.7,16311,26,1.5,Partial,Low,None,Large,HR,7.5,5,No,High,High,7,High,Low,High,Average,21,No,No,No,Rarely,Kolkata
1050,32,Male,Single,Analyst,8,58807,44,1,No,Low,None,Small,Engineering,5,4,Yes,Medium,Medium,10,Medium,High,Medium,Excellent,50,Yes,No,No,Sometimes,Hyderabad
1051,40,Female,Married,Manager,13.3,283259,58,0.7,No,High,Diabetes,Medium,Marketing,5,3,No,Medium,High,5,Medium,Medium,High,Excellent,15,No,Yes,No,Often,Hyderabad
1052,40,Other,Single,Manager,11.1,217882,54,1.3,Partial,High,Diabetes,Medium,Engineering,5,3,No,High,High,16,Low,Low,High,Poor,43,Yes,Yes,No,Often,Hyderabad
1053,27,Other,Divorced,Developer,4.6,96055,41,0.8,No,Low,Migraine,Small,Marketing,6.2,5,No,Medium,Medium,11,Medium,Medium,Medium,Average,44,Yes,No,No,Sometimes,Pune
1054,50,Other,Divorced,CEO,22.2,511844,60,1.3,No,High,Back Pain,Small,Operations,5,1,Yes,Medium,Medium,6,High,Low,Medium,Average,3,No,No,No,Often,Hyderabad
1055,22,Female,Single,Developer,1,115591,46,2.9,Partial,Medium,Migraine,Large,Engineering,5.7,5,No,Medium,High,5,Medium,High,Low,Poor,44,No,No,No,Sometimes,Delhi
1056,31,Other,Divorced,Designer,6.8,40450,44,1.3,No,Low,None,Small,Operations,5.2,4,Yes,High,Medium,18,Medium,Low,High,Poor,7,Yes,Yes,Yes,Rarely,Pune
1057,35,Male,Divorced,Designer,1.1,45528,40,1.2,No,Low,None,Large,Marketing,5.5,5,No,Low,Medium,9,Low,Medium,Medium,Average,11,Yes,Yes,Yes,Rarely,Kolkata
1058,49,Female,Married,CEO,21.3,539563,66,0.6,Partial,High,Hypertension,Large,HR,5,1,Yes,Medium,High,16,Medium,Low,Medium,Good,50,No,Yes,Yes,Often,Kolkata
1059,54,Male,Divorced,CEO,6.2,591288,60,2.1,Yes,Medium,Diabetes,Large,HR,5,4,Yes,Medium,High,13,Medium,Medium,High,Good,34,No,No,Yes,Often,Bangalore
1060,43,Other,Married,Manager,1.7,239303,55,0.6,Partial,Low,Back Pain,Medium,Operations,5,5,No,Low,Medium,10,Low,Medium,Low,Good,7,Yes,No,No,Often,Pune
1061,20,Male,Single,Intern,0.4,18505,34,0.9,Partial,Low,None,Medium,Engineering,7.5,5,Yes,Medium,High,11,Medium,Low,Medium,Poor,32,Yes,Yes,Yes,Rarely,Kolkata
1062,31,Other,Single,Analyst,3.5,54831,41,1,Partial,Medium,Migraine,Medium,HR,5.5,5,Yes,High,High,15,High,High,Medium,Excellent,47,No,Yes,No,Sometimes,Kolkata
1063,60,Female,Married,CEO,26.2,594381,65,2.9,Partial,High,Back Pain,Small,Engineering,5,1,Yes,Medium,Medium,18,Low,Medium,Medium,Poor,43,No,Yes,Yes,Often,Bangalore
1064,22,Other,Single,Intern,1.5,19445,33,1.4,Partial,Medium,Migraine,Small,Marketing,7.2,5,Yes,Medium,Medium,14,Low,High,High,Average,10,Yes,Yes,Yes,Rarely,Pune
1065,56,Male,Single,CEO,10.4,510963,67,2.1,Yes,High,Diabetes,Medium,Marketing,5,3,Yes,Low,High,18,Medium,Medium,Medium,Average,21,Yes,No,No,Often,Delhi
1066,59,Male,Married,CEO,2.4,586436,65,1.7,Yes,Low,Hypertension,Medium,Operations,5,5,No,Low,Medium,10,High,Low,Low,Average,11,No,No,No,Often,Bangalore
